,What's Going On This Month?,Workstream,MI2_Tracker_ID,Product Name,What to track?,Treatment,Sr. Level Technical Reviewer/Approver,DEC Submission (Y/N),MI Lead,FAB Lead,Link to Folder,Product Status,Production Timeline (No. of Months),% Completion,Due Date,Important Notes,Source,unique_id,xbva,Action Plan,Product #,LAC Lead,Output #,Work Plan,Meeting Notes,Catalogue of Mission Products,Mission Lead,Notes/Comments/Changes Needed,COVID-19 Updates,Task,"COR Approval 
Y/N",complete,ERP,MI2-Wide Tracker,MI2 BVA,Funding Source,MI2-Wide Tracker_x,Focal Area
0,"July - focus on job aid, get job aid 1 ready for first review; drafting content for job aids 2 and 3; rescoping Environmental Evidence Summit (drafting scoping sheet) and re-inviting participants; Evidence Field debrief 7/23",3.1 Evidence Theory to Practice,3.1.1.A,Strategic coordination with other workstreams and focal areas to operationalize concepts in EiA along one or more pathways,Process,,,,Kathleen,Sara,,Production,12.0,35-79%,,Link to ELWG folder,workstream_products,Product #,3.1 Evidence Theory to Practice,,,,,,,,,,,,,57.0,Evidence Use and Generat,3.1 Evidence Theory to Practice,MI2 Evidence Use and Generation,FAB,3. EVIDENCE-BASED PRACTICE,Evidence Use and Generation
1,"July - focus on job aid, get job aid 1 ready for first review; drafting content for job aids 2 and 3; rescoping Environmental Evidence Summit (drafting scoping sheet) and re-inviting participants; Evidence Field debrief 7/23",3.1 Evidence Theory to Practice,3.1.1.B,"Identify, develop, pilot, and distribute guidance and job aids (items that can easily be shared, referenced, and used) to operationalize concepts in EiA along one or more pathways (guidance documents)",Product,Scoping + Transmission + Dissemination Plans,Kathleen,No,Kathleen,Sara,Link,Production,5.0,35-79%,Sep,,workstream_products,Product #,3.1 Evidence Theory to Practice,,,,,,,,,,,,,57.0,Evidence Use and Generat,3.1 Evidence Theory to Practice,MI2 Evidence Use and Generation,FAB,3. EVIDENCE-BASED PRACTICE,Evidence Use and Generation
2,"July - focus on job aid, get job aid 1 ready for first review; drafting content for job aids 2 and 3; rescoping Environmental Evidence Summit (drafting scoping sheet) and re-inviting participants; Evidence Field debrief 7/23",3.1 Evidence Theory to Practice,3.1.1.C,"Information dissemination: dissemination of MI2’s paper on bridging the research-implementation gap via one or more channels (blog post, presentation, webinar)",Product,,Kathleen,Yes,Natalie,Sara,Link,Completed,3.0,100%,Dec,"Linked folder contains three deliverables completed under this product
Published paper
Learning Lab blog
LPA dissemination packet (FAB use)",workstream_products,Product #,3.1 Evidence Theory to Practice,,,,,,,,,,,,,100.0,Evidence Use and Generat,3.1 Evidence Theory to Practice,MI2 Evidence Use and Generation,FAB,3. EVIDENCE-BASED PRACTICE,Evidence Use and Generation
3,"July - focus on job aid, get job aid 1 ready for first review; drafting content for job aids 2 and 3; rescoping Environmental Evidence Summit (drafting scoping sheet) and re-inviting participants; Evidence Field debrief 7/23",3.1 Evidence Theory to Practice,3.1.1.D,"Advance the practice of evidence-based conservation across USAID with a symposium and facilitated stakeholder round table convened at the Environmental Evidence Summit to engage potential contributors to the evidence base (donors and project implementers) and researchers engaged in evidence synthesis in a dialogue about increasing efficiency in knowledge generation about conservation effectiveness (Products: presentation, stakeholder roundtable output)",Product,,Kathleen,No,Natalie,Sara,,Production,9.0,0-24%,,Meeting switching over to a webinar series. Extends timeline into FY21.,workstream_products,Product #,3.1 Evidence Theory to Practice,,,,,,,,,,,,,12.0,Evidence Use and Generat,3.1 Evidence Theory to Practice,MI2 Evidence Use and Generation,FAB,3. EVIDENCE-BASED PRACTICE,Evidence Use and Generation
4,"FAB selected July 14th presentation date, Andres is finishing up interviews and EI will get presentation by July 8 for review.",4.1 Evaluation of FAB Activities,4.1.1.A,Goal 2 Evaluation Public-facing Executive Summary,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Liz,Yes,Lexine,Olaf,Link,Completed,1.0,100%,Apr,Posted to DEC and Gateway 4/22/20,workstream_products,Product #,4.1 Evaluation of FAB Activities,,,,,,,,,,,,,100.0,Goal 2 Evaluation,4.1 Evaluation of FAB Activities,MI2 Goal 2 Evaluation,FAB,4. BUSINESS PROCESSES AND INTEGRATION,Business Processes (WG2) and Integration (WG3)
5,"FAB selected July 14th presentation date, Andres is finishing up interviews and EI will get presentation by July 8 for review.",4.1 Evaluation of FAB Activities,4.1.1.B,Goal 2 Evaluation SBU Internal Results and Recommendations Slide Deck,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Liz,No,Lexine,Olaf,Link,Review,1.0,96-99%,May,All files available here: https://drive.google.com/drive/folders/12y5wIYk25zw679HUVNOYmqPGABp01ZQs,workstream_products,Product #,4.1 Evaluation of FAB Activities,,,,,,,,,,,,,97.0,Goal 2 Evaluation,4.1 Evaluation of FAB Activities,MI2 Goal 2 Evaluation,FAB,4. BUSINESS PROCESSES AND INTEGRATION,Business Processes (WG2) and Integration (WG3)
6,"FAB selected July 14th presentation date, Andres is finishing up interviews and EI will get presentation by July 8 for review.",4.1 Evaluation of FAB Activities,4.1.1.C,"Goal 2 Evaluation Data tables, instruments and User Guide for replicating the assessment",Product,Scoping + Transmission + Dissemination + Data Storage Plan,Liz,No,Lexine,Olaf,Link,Review,1.0,96-99%,May,,workstream_products,Product #,4.1 Evaluation of FAB Activities,,,,,,,,,,,,,97.0,Goal 2 Evaluation,4.1 Evaluation of FAB Activities,MI2 Goal 2 Evaluation,FAB,4. BUSINESS PROCESSES AND INTEGRATION,Business Processes (WG2) and Integration (WG3)
7,"FAB selected July 14th presentation date, Andres is finishing up interviews and EI will get presentation by July 8 for review.",4.1 Evaluation of FAB Activities,4.1.2.A,Conservation Volunteer Assessment Scope of Work,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Natalie,Yes,Lexine,Andy,Shared Folder Link,Completed,1.0,100%,Apr,"ICF team, AG in lead, Andy approved Scope 4/10/20",workstream_products,Product #,4.1 Evaluation of FAB Activities,,,,,,,,,,,,,100.0,Goal 2 Evaluation,4.1 Evaluation of FAB Activities,MI2 Goal 2 Evaluation,FAB,4. BUSINESS PROCESSES AND INTEGRATION,Business Processes (WG2) and Integration (WG3)
8,"FAB selected July 14th presentation date, Andres is finishing up interviews and EI will get presentation by July 8 for review.",4.1 Evaluation of FAB Activities,4.1.2.B,Conservation Volunteer Assessment Slide deck and briefing for FAB on preliminary findings,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Linda,No,Lexine,Andy,,Production,2.0,35-79%,Jul,"Content by Andres using MI2 ppt template. Presentation scheduled for July 14, EI shoudl receive draft PPT July 7-8. Review 8-13th. Shelly/Liz + Lexine to participate in the meeting.",workstream_products,Product #,4.1 Evaluation of FAB Activities,,,,,,,,,,,,,57.0,Goal 2 Evaluation,4.1 Evaluation of FAB Activities,MI2 Goal 2 Evaluation,FAB,4. BUSINESS PROCESSES AND INTEGRATION,Business Processes (WG2) and Integration (WG3)
9,"FAB selected July 14th presentation date, Andres is finishing up interviews and EI will get presentation by July 8 for review.",4.1 Evaluation of FAB Activities,4.1.2.C,Conservation Volunteer Assessment Draft report,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Linda,Yes,Lexine,Andy,,Production,3.0,35-79%,Aug,"Content by Andres, Design and finaliazation by MI2",workstream_products,Product #,4.1 Evaluation of FAB Activities,,,,,,,,,,,,,57.0,Goal 2 Evaluation,4.1 Evaluation of FAB Activities,MI2 Goal 2 Evaluation,FAB,4. BUSINESS PROCESSES AND INTEGRATION,Business Processes (WG2) and Integration (WG3)
